playerID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID,yearID,teamID,lgID,salary
abreubo01,1974.0,3.0,11.0,Venezuela,Aragua,Maracay,,,,,,,Bobby,Abreu,Bob Kelly,220.0,72.0,L,R,1996-09-01,2014-09-28,abreb001,abreubo01,2012.0,LAA,AL,9000000.0
abreujo02,1987.0,1.0,29.0,Cuba,Cienfuegos,Cienfuegos,,,,,,,Jose,Abreu,Jose Dariel,255.0,75.0,R,R,2014-03-31,2015-10-03,abrej003,abreujo02,2015.0,CHA,AL,8666000.0
adamsmi03,1978.0,7.0,29.0,USA,TX,Corpus Christi,,,,,,,Mike,Adams,Jon Michael,210.0,77.0,R,R,2004-05-18,2014-09-18,adamm001,adamsmi03,2014.0,PHI,NL,7000000.0
affelje01,1979.0,6.0,6.0,USA,AZ,Phoenix,,,,,,,Jeremy,Affeldt,Jeremy David,225.0,76.0,L,L,2002-04-06,2015-10-04,affej001,affelje01,2015.0,SFN,NL,6000000.0
alfoned01,1973.0,11.0,8.0,Venezuela,Miranda,Santa Teresa del Tuy,,,,,,,Edgardo,Alfonzo,Edgardo Antonio,210.0,71.0,R,R,1995-04-26,2006-06-11,alfoe001,alfoned01,2006.0,LAA,AL,8000000.0
aloumo01,1966.0,7.0,3.0,USA,GA,Atlanta,,,,,,,Moises,Alou,Moises Rojas,185.0,75.0,R,R,1990-07-26,2008-06-10,aloum001,aloumo01,2008.0,NYN,NL,7500000.0
alvarpe01,1987.0,2.0,6.0,D.R.,Distrito Nacional,Santo Domingo,,,,,,,Pedro,Alvarez,Pedro Manuel,250.0,75.0,L,R,2010-06-16,2015-10-04,alvap001,alvarpe01,2015.0,PIT,NL,5750000.0
anderbr04,1988.0,2.0,1.0,USA,TX,Midland,,,,,,,Brett,Anderson,Brett Franklin,240.0,75.0,L,L,2009-04-10,2015-10-01,andeb004,anderbr04,2015.0,LAN,NL,10000000.0
andruel01,1988.0,8.0,26.0,Venezuela,Aragua,Maracay,,,,,,,Elvis,Andrus,Elvis Augusto,200.0,72.0,R,R,2009-04-06,2015-10-04,andre001,andruel01,2015.0,TEX,AL,15000000.0
arroybr01,1977.0,2.0,24.0,USA,FL,Key West,,,,,,,Bronson,Arroyo,Bronson Anthony,185.0,75.0,R,R,2000-06-12,2014-06-15,arrob001,arroybr01,2014.0,ARI,NL,9500000.0
ashbyan01,1967.0,7.0,11.0,USA,MO,Kansas City,,,,,,,Andy,Ashby,Andrew Jason,180.0,73.0,R,R,1991-06-10,2004-09-14,ashba002,ashbyan01,2003.0,LAN,NL,8500000.0
avilaal01,1987.0,1.0,29.0,USA,FL,Hialeah,,,,,,,Alex,Avila,Alexander Thomas,210.0,71.0,L,R,2009-08-06,2015-10-03,avila001,avilaal01,2015.0,DET,AL,5400000.0
aybarer01,1984.0,1.0,14.0,D.R.,Peravia,Bani,,,,,,,Erick,Aybar,Erick Johan,180.0,70.0,B,R,2006-05-16,2015-10-04,aybae001,aybarer01,2015.0,LAA,AL,8500000.0
bagweje01,1968.0,5.0,27.0,USA,MA,Boston,,,,,,,Jeff,Bagwell,Jeffrey Robert,195.0,72.0,R,R,1991-04-08,2005-10-02,bagwj001,bagweje01,2006.0,HOU,NL,19369019.0
baileho02,1986.0,5.0,3.0,USA,TX,La Grange,,,,,,,Homer,Bailey,David Dewitt,225.0,76.0,R,R,2007-06-08,2015-04-23,bailh001,baileho02,2015.0,CIN,NL,10000000.0
bakersc02,1981.0,9.0,19.0,USA,LA,Shreveport,,,,,,,Scott,Baker,Timothy Scott,215.0,76.0,R,R,2005-05-07,2015-05-02,bakes002,bakersc02,2013.0,CHN,NL,5500000.0
bautijo02,1980.0,10.0,19.0,D.R.,Distrito Nacional,Santo Domingo,,,,,,,Jose,Bautista,Jose Antonio,205.0,72.0,R,R,2004-04-04,2015-10-04,bautj002,bautijo02,2015.0,TOR,AL,14000000.0
beckejo02,1980.0,5.0,15.0,USA,TX,Spring,,,,,,,Josh,Beckett,Joshua Patrick,230.0,77.0,R,R,2001-09-04,2014-08-03,beckj002,beckejo02,2014.0,LAN,NL,15750000.0
beckro01,1968.0,8.0,3.0,USA,CA,Burbank,2007.0,6.0,23.0,USA,AZ,Phoenix,Rod,Beck,Rodney Roy,215.0,73.0,R,R,1991-05-06,2004-08-14,beckr001,beckro01,2001.0,BOS,AL,4500000.0
bedarer01,1979.0,3.0,5.0,CAN,ON,Navan,,,,,,,Erik,Bedard,Erik Joseph,195.0,73.0,L,L,2002-04-17,2014-07-12,bedae001,bedarer01,2012.0,PIT,NL,4500000.0
belchti01,1961.0,10.0,19.0,USA,OH,Mount Gilead,,,,,,,Tim,Belcher,Timothy Wayne,210.0,75.0,R,R,1987-09-06,2000-09-30,belct001,belchti01,2000.0,ANA,AL,4600000.0
bellda01,1972.0,9.0,14.0,USA,OH,Cincinnati,,,,,,,David,Bell,David Michael,170.0,70.0,R,R,1995-05-03,2006-10-01,belld002,bellda01,2006.0,PHI,NL,4700000.0
bellde01,1968.0,12.0,11.0,USA,FL,Tampa,,,,,,,Derek,Bell,Derek Nathaniel,200.0,74.0,R,R,1991-06-28,2001-07-03,belld001,bellde01,2001.0,PIT,NL,5000000.0
belleal01,1966.0,8.0,25.0,USA,LA,Shreveport,,,,,,,Albert,Belle,Albert Jojuan,190.0,73.0,R,R,1989-07-15,2000-10-01,bellj002,belleal01,2003.0,BAL,AL,13000000.0
bellhe01,1977.0,9.0,29.0,USA,CA,Oceanside,,,,,,,Heath,Bell,Heath Justin,235.0,75.0,R,R,2004-08-24,2014-05-03,bellh001,bellhe01,2014.0,TBA,AL,9000000.0
