lgID,playerID,yearID,teamID,salary
AL,rodrial01,2009,NYA,33000000
AL,rodrial01,2010,NYA,33000000
AL,rodrial01,2011,NYA,32000000
AL,rodrial01,2012,NYA,30000000
AL,rodrial01,2013,NYA,29000000
AL,rodrial01,2008,NYA,28000000
AL,wellsve01,2011,LAA,26187500
AL,rodrial01,2005,NYA,26000000
NL,greinza01,2014,LAN,26000000
NL,leecl02,2013,PHI,25000000
NL,howarry01,2014,PHI,25000000
NL,leecl02,2014,PHI,25000000
AL,wellsve01,2013,NYA,24642857
AL,sabatcc01,2010,NYA,24285714
AL,sabatcc01,2011,NYA,24285714
AL,sabatcc01,2013,NYA,24285714
AL,wellsve01,2012,LAA,24187500
AL,canoro01,2014,SEA,24000000
AL,fieldpr01,2014,TEX,24000000
NL,ramirma02,2009,LAN,23854494
AL,giambja01,2007,NYA,23428571
AL,giambja01,2008,NYA,23428571
NL,santajo01,2012,NYN,23145011
AL,teixema01,2011,NYA,23125000
AL,teixema01,2012,NYA,23125000
AL,teixema01,2013,NYA,23125000
AL,mauerjo01,2011,MIN,23000000
AL,fieldpr01,2012,DET,23000000
AL,mauerjo01,2012,MIN,23000000
AL,sabatcc01,2012,NYA,23000000
AL,fieldpr01,2013,DET,23000000
AL,mauerjo01,2013,MIN,23000000
AL,pujolal01,2014,LAA,23000000
AL,mauerjo01,2014,MIN,23000000
AL,sabatcc01,2014,NYA,23000000
AL,hernafe02,2014,SEA,22857000
AL,rodrial01,2007,NYA,22708525
AL,jeterde01,2010,NYA,22600000
AL,ramirma02,2004,BOS,22500000
AL,teixema01,2014,NYA,22500000
NL,hamelco01,2014,PHI,22500000
NL,linceti01,2013,SFN,22250000
AL,rodrial01,2001,TEX,22000000
AL,rodrial01,2002,TEX,22000000
AL,rodrial01,2003,TEX,22000000
AL,rodrial01,2004,NYA,22000000
AL,ramirma02,2005,BOS,22000000
NL,bondsba01,2005,SFN,22000000
AL,cabremi01,2014,DET,22000000
AL,tanakma01,2014,NYA,22000000
NL,gonzaad01,2013,LAN,21857143
AL,gonzaad01,2012,BOS,21857142
AL,rodrial01,2006,NYA,21680727
NL,santajo01,2011,NYN,21644707
AL,jeterde01,2007,NYA,21600000
AL,jeterde01,2008,NYA,21600000
AL,jeterde01,2009,NYA,21600000
NL,leecl02,2012,PHI,21500000
AL,ellsbja01,2014,NYA,21142857
AL,cabremi01,2012,DET,21000000
AL,cabremi01,2013,DET,21000000
NL,greinza01,2013,LAN,21000000
NL,gonzaad01,2014,LAN,21000000
NL,kempma01,2014,LAN,21000000
NL,crawfca02,2013,LAN,20857143
NL,cainma01,2013,SFN,20833333
AL,teixema01,2009,NYA,20625000
AL,teixema01,2010,NYA,20625000
AL,jeterde01,2006,NYA,20600000
AL,hernafe02,2013,SEA,20557143
NL,hamelco01,2013,PHI,20500000
AL,giambja01,2006,NYA,20428571
AL,crawfca02,2012,BOS,20357142
NL,heltoto01,2011,COL,20275000
NL,kempma01,2013,LAN,20250000
NL,crawfca02,2014,LAN,20250000
NL,santajo01,2010,NYN,20144707
AL,verlaju01,2012,DET,20100000
AL,verlaju01,2013,DET,20100000
AL,ramirma02,2003,BOS,20000000
AL,cabremi01,2010,DET,20000000
AL,cabremi01,2011,DET,20000000
NL,hallaro01,2011,PHI,20000000
NL,howarry01,2011,PHI,20000000
NL,hallaro01,2012,PHI,20000000
NL,howarry01,2012,PHI,20000000
NL,hallaro01,2013,PHI,20000000
NL,howarry01,2013,PHI,20000000
NL,zitoba01,2013,SFN,20000000
AL,verlaju01,2014,DET,20000000
NL,wrighda03,2014,NYN,20000000
