Fifty Shades Of Grey,"$91,345,800","$68,100,000","$23,245,800","$410,648,310","$280,500,000","$130,148,310",UNI,59,UNI
Kingsman: The Secret...,"$50,525,000","$33,000,000","$17,525,000","$153,705,949","$86,600,000","$67,105,949",FOX,55,FOX
Spongebob Squarepant...,"$37,400,000","$21,900,000","$15,500,000","$201,171,834","$76,000,000","$125,171,834",PAR,45,PAR
Dragon Blade,"$33,000,000","$33,000,000",,"$50,000,000","$50,000,000",,MUL,5,N/A
American Sniper,"$30,150,000","$20,500,000","$9,650,000","$428,107,179","$108,500,000","$319,607,179",WB,56,WB
From Vegas to Macau ...,"$29,000,000","$29,000,000",,"$39,000,000","$39,000,000",,MUL,4,N/A
Snow Girl And The Da...,"$17,000,000","$17,000,000",,"$26,500,000","$26,500,000",,MUL,1,WGUI
Wolf Totem,"$14,000,000","$14,000,000",,"$27,000,000","$27,000,000",,MUL,2,N/A
Jupiter Ascending,"$12,560,000","$8,900,000","$3,660,000","$114,516,979","$75,000,000","$39,516,979",WB,67,WB
Detective K: The Lab...,"$12,500,000","$12,500,000",,"$23,000,000","$23,000,000",,SHO,1,N/A
Big Hero 6,"$11,553,000","$11,000,000","$553,000","$546,224,880","$326,000,000","$220,224,880",DIS,28,DIS
"Dad, Where Are We Go...","$11,500,000","$11,500,000",,"$18,500,000","$18,500,000",,MUL,1,N/A
"McFarland, USA","$11,315,000",,"$11,315,000","$11,315,000",,"$11,315,000",DIS,1,DIS
"DUFF, The","$11,025,000",,"$11,025,000","$11,025,000",,"$11,025,000",MUL,1,LGF
Triumph In The Skies,"$10,000,000","$10,000,000",,"$14,000,000","$14,000,000",,MUL,6,ASIA
"Imitation Game, The","$9,306,000","$6,750,000","$2,556,000","$182,911,902","$99,000,000","$83,911,902",MUL,33,TWC
Hot Tub Time Machine...,"$5,800,000",,"$5,800,000","$5,800,000",,"$5,800,000",PAR,1,PAR
Taken 3,"$5,587,000","$5,100,000","$487,000","$287,732,985","$200,100,000","$87,632,985",FOX,41,FOX
Penguins Of Madagasc...,"$5,200,000","$5,200,000",,"$359,208,569","$276,700,000","$82,508,569",FOX,12,FOX
Emperor's Holidays,"$5,000,000","$5,000,000",,"$7,800,000","$7,800,000",,MUL,1,N/A
Night At The Museum:...,"$4,737,000","$4,400,000","$337,000","$340,981,237","$229,400,000","$111,581,237",FOX,13,FOX
Shaun The Sheep,"$4,500,000","$4,500,000",,"$17,500,000","$17,500,000",,MUL,7,N/A
Ode To My Father,"$4,300,000","$4,300,000",,"$98,152,688","$96,000,000","$2,152,688",MUL,2,MLNM
"Wedding Ringer, The","$3,745,000","$2,500,000","$1,245,000","$70,041,393","$8,100,000","$61,941,393",SNY,39,SNY
Traumfrauen,"$3,500,000","$3,500,000",,"$3,500,000","$3,500,000",,WB,2,N/A
Paddington,"$3,289,000","$1,000,000","$2,289,000","$227,660,766","$160,000,000","$67,660,766",MUL,16,TWC
Theory Of Everything...,"$3,266,000","$2,700,000","$566,000","$104,145,178","$70,000,000","$34,145,178",UNI,47,FOC
Bis,"$3,250,000","$3,250,000",,"$3,250,000","$3,250,000",,ECD,1,N/A
Birdman,"$3,130,000","$2,300,000","$830,000","$76,633,306","$38,900,000","$37,733,306",FOX,25,FSL
