,United States,6.5
1,"Bismarck, ND Metropolitan Statistical Area",2.8
1,"Logan, UT-ID Metropolitan Statistical Area",2.8
1,"Midland, TX Metropolitan Statistical Area",2.8
4,"Fargo, ND-MN Metropolitan Statistical Area",3.0
5,"Ames, IA Metropolitan Statistical Area",3.1
5,"Burlington-South Burlington, VT Metropolitan NECTA",3.1
5,"Houma-Bayou Cane-Thibodaux, LA Metropolitan Statistical Area",3.1
5,"Iowa City, IA Metropolitan Statistical Area",3.1
5,"Lincoln, NE Metropolitan Statistical Area",3.1
5,"Sioux Falls, SD Metropolitan Statistical Area",3.1
11,"Lafayette, LA Metropolitan Statistical Area",3.3
12,"Odessa, TX Metropolitan Statistical Area",3.4
13,"Grand Forks, ND-MN Metropolitan Statistical Area",3.5
13,"Provo-Orem, UT Metropolitan Statistical Area",3.5
13,"Salt Lake City, UT Metropolitan Statistical Area",3.5
16,"Mankato-North Mankato, MN Metropolitan Statistical Area",3.6
17,"Columbia, MO Metropolitan Statistical Area",3.7
17,"Morgantown, WV Metropolitan Statistical Area",3.7
19,"Honolulu, HI Metropolitan Statistical Area",3.8
19,"Ogden-Clearfield, UT Metropolitan Statistical Area",3.8
19,"Rapid City, SD Metropolitan Statistical Area",3.8
19,"Rochester, MN Metropolitan Statistical Area",3.8
23,"Billings, MT Metropolitan Statistical Area",3.9
23,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",3.9
25,"Amarillo, TX Metropolitan Statistical Area",4.0
25,"Charlottesville, VA Metropolitan Statistical Area",4.0
25,"Madison, WI Metropolitan Statistical Area",4.0
28,"Dubuque, IA Metropolitan Statistical Area",4.1
28,"Ithaca, NY Metropolitan Statistical Area",4.1
28,"Lake Charles, LA Metropolitan Statistical Area",4.1
28,"Lawrence, KS Metropolitan Statistical Area",4.1
32,"Casper, WY Metropolitan Statistical Area",4.2
32,"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",4.2
34,"Lubbock, TX Metropolitan Statistical Area",4.3
34,"Manhattan, KS Metropolitan Statistical Area",4.3
34,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",4.3
34,"Portsmouth, NH-ME Metropolitan NECTA",4.3
34,"St. George, UT Metropolitan Statistical Area",4.3
39,"Abilene, TX Metropolitan Statistical Area",4.4
39,"Boulder, CO Metropolitan Statistical Area",4.4
39,"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",4.4
39,"Des Moines-West Des Moines, IA Metropolitan Statistical Area",4.4
39,"Harrisonburg, VA Metropolitan Statistical Area",4.4
39,"Rochester-Dover, NH-ME Metropolitan NECTA",4.4
39,"San Angelo, TX Metropolitan Statistical Area",4.4
39,"Sioux City, IA-NE-SD Metropolitan Statistical Area",4.4
47,"Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",4.5
47,"Baton Rouge, LA Metropolitan Statistical Area",4.5
47,"Columbus, IN Metropolitan Statistical Area",4.5
47,"La Crosse, WI-MN Metropolitan Statistical Area",4.5
47,"Winchester, VA-WV Metropolitan Statistical Area",4.5
52,"Cedar Rapids, IA Metropolitan Statistical Area",4.6
52,"College Station-Bryan, TX Metropolitan Statistical Area",4.6
52,"Springfield, MO Metropolitan Statistical Area",4.6
52,"State College, PA Metropolitan Statistical Area",4.6
52,"Victoria, TX Metropolitan Statistical Area",4.6
52,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",4.6
58,"Alexandria, LA Metropolitan Statistical Area",4.7
58,"Auburn-Opelika, AL Metropolitan Statistical Area",4.7
58,"Cheyenne, WY Metropolitan Statistical Area",4.7
58,"Idaho Falls, ID Metropolitan Statistical Area",4.7
58,"Lebanon, PA Metropolitan Statistical Area",4.7
58,"Manchester, NH Metropolitan NECTA",4.7
58,"New Orleans-Metairie-Kenner, LA Metropolitan Statistical Area",4.7
65,"Fort Collins-Loveland, CO Metropolitan Statistical Area",4.8
65,"Gainesville, FL Metropolitan Statistical Area",4.8
65,"Great Falls, MT Metropolitan Statistical Area",4.8
65,"Oklahoma City, OK Metropolitan Statistical Area",4.8
65,"St. Cloud, MN Metropolitan Statistical Area",4.8
65,"St. Joseph, MO-KS Metropolitan Statistical Area",4.8
71,"Durham-Chapel Hill, NC Metropolitan Statistical Area",4.9
71,"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",4.9
71,"Huntsville, AL Metropolitan Statistical Area",4.9
71,"Jefferson City, MO Metropolitan Statistical Area",4.9
71,"Joplin, MO Metropolitan Statistical Area",4.9
71,"Lancaster, PA Metropolitan Statistical Area",4.9
71,"Portland-South Portland-Biddeford, ME Metropolitan NECTA",4.9
71,"Roanoke, VA Metropolitan Statistical Area",4.9
79,"Asheville, NC Metropolitan Statistical Area",5.0
79,"Birmingham-Hoover, AL Metropolitan Statistical Area",5.0
79,"Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",5.0
79,"Corvallis, OR Metropolitan Statistical Area",5.0
79,"Greenville-Mauldin-Easley, SC Metropolitan Statistical Area",5.0
79,"Longview, TX Metropolitan Statistical Area",5.0
79,"Monroe, LA Metropolitan Statistical Area",5.0
79,"Sheboygan, WI Metropolitan Statistical Area",5.0
79,"Shreveport-Bossier City, LA Metropolitan Statistical Area",5.0
79,"Topeka, KS Metropolitan Statistical Area",5.0
89,"Appleton, WI Metropolitan Statistical Area",5.1
89,"Boise City-Nampa, ID Metropolitan Statistical Area",5.1
89,"Missoula, MT Metropolitan Statistical Area",5.1
89,"Oshkosh-Neenah, WI Metropolitan Statistical Area",5.1
89,"Santa Fe, NM Metropolitan Statistical Area",5.1
89,"Wichita Falls, TX Metropolitan Statistical Area",5.1
95,"Anchorage, AK Metropolitan Statistical Area",5.2
95,"Ann Arbor, MI Metropolitan Statistical Area",5.2
95,"Athens-Clarke County, GA Metropolitan Statistical Area",5.2
95,"Charleston-North Charleston-Summerville, SC Metropolitan Statistical Area",5.2
95,"Danbury, CT Metropolitan NECTA",5.2
95,"Eau Claire, WI Metropolitan Statistical Area",5.2
95,"Lewiston, ID-WA Metropolitan Statistical Area",5.2
95,"Raleigh-Cary, NC Metropolitan Statistical Area",5.2
95,"Richmond, VA Metropolitan Statistical Area",5.2
95,"Waco, TX Metropolitan Statistical Area",5.2
95,"Wichita, KS Metropolitan Statistical Area",5.2
106,"Charleston, WV Metropolitan Statistical Area",5.3
106,"Green Bay, WI Metropolitan Statistical Area",5.3
106,"Harrisburg-Carlisle, PA Metropolitan Statistical Area",5.3
106,"Lynchburg, VA Metropolitan Statistical Area",5.3
106,"San Antonio-New Braunfels, TX Metropolitan Statistical Area",5.3
